word                  freq        P(word|ham)                     P(word|spam)               classification
wasnt                 130         1.0708744364027503e-05          3.2181410472603324e-07     HAM
we                    6462026     0.0005128298689884282           0.0013043125664546126      SPAM
were                  213109      0.0001693568090162868           7.047728893500127e-05      HAM
weren                 21          1.9831008081532415e-06          9.654423141780996e-07      HAM
what                  674557      0.0005350405980397445           0.00035882272676952706     HAM
when                  449349      0.0003565615253059528           0.0002249480592034972      HAM
where                 183151      0.00014555959931844792          9.750967373198806e-05      HAM
which                 574351      0.00045571656571361484          0.00022623531562240135     HAM
while                 161198      0.0001281083122066994           0.0001277601995762352      HAM
who                   267396      0.0002121917864723968           0.00025519858504774435     SPAM
whom                  1512        1.2295225010550096e-05          8.045352618150831e-06      HAM
why                   173181      0.00013762719608583494          0.00011681852001555006     HAM
will                  6181858     0.0004906191399371119           0.0011961830272666655      SPAM
with                  76555683    0.006072651294726856            0.0036580609284208197      HAM
won                   7587        5.988964440622789e-05           5.6317468327055816e-05     HAM
wont                  68          5.156062101198428e-06           5.470839780342565e-06      SPAM
wouldn                4232        3.37127137386051e-05            2.091791680719216e-05      HAM
wouldnt               30          2.7763411314145377e-06          3.2181410472603324e-07     HAM
y                     90680       7.178824925514734e-05           0.0004379889965321312      SPAM
you                   20127627    0.0015963961505633592           0.004909274167595637       SPAM
your                  5325166     0.0004224004721366404           0.003325305144134101       SPAM
yours                 868         6.74254274772102e-06            4.408853234746655e-05      SPAM
yourself              45182       3.6092434708388995e-05          0.00011746214822500212     SPAM
